ORM_NUMBER|ORM_ISSUE_DATE|IFSC_CODE|AD_CODE|ORM_DATE|ORM_AMOUNT|ORM_CURRENCY|INR_PAYABLE_AMOUNT|IE_CODE|PAN_NUMBER|BENEFICIARY_NAME|BENEFICIARY_COUNTRY|PURPOSE_CODE|REFERENCE_IRM
ORM99026|05/03/2026|HDFC9860206|6001115|05/03/2026|48946.56|USD|2112894.61|1000000026|ABCDE1026F|Beneficiary 26|Germany|S0001|IRM88026
ORM99027|28/01/2025|HDFC3802500|6967591|28/01/2025|38824.96|EUR|1661376.00|1000000027|ABCDE1027F|Beneficiary 27|Singapore|P0807|IRM88027
ORM99028|31/10/2025|HDFC4742018|4274007|31/10/2025|40497.85|GBP|2240429.22|1000000028|ABCDE1028F|Beneficiary 28|UK|P0104|IRM88028
ORM99029|02/07/2025|HDFC9267507|6965349|02/07/2025|36819.20|USD|2387133.28|1000000029|ABCDE1029F|Beneficiary 29|UAE|P0807|IRM88029
ORM99030|04/08/2024|HDFC6776075|8503235|04/08/2024|40619.72|EUR|2965071.13|1000000030|ABCDE1030F|Beneficiary 30|Germany|P0104|IRM88030
ORM99031|31/08/2024|HDFC2713912|4805841|31/08/2024|24033.92|GBP|676770.22|1000000031|ABCDE1031F|Beneficiary 31|Singapore|S0001|IRM88031
ORM99032|28/05/2026|HDFC1032016|9044229|28/05/2026|45550.76|GBP|2414959.73|1000000032|ABCDE1032F|Beneficiary 32|USA|S0001|IRM88032
ORM99033|20/05/2024|HDFC7518548|4344024|20/05/2024|24423.60|USD|1347061.22|1000000033|ABCDE1033F|Beneficiary 33|Germany|P0104|IRM88033
ORM99034|18/04/2026|HDFC7641067|8770544|18/04/2026|20667.95|USD|2196412.10|1000000034|ABCDE1034F|Beneficiary 34|UK|P0104|IRM88034
ORM99035|16/02/2024|HDFC3535887|8807342|16/02/2024|40518.60|USD|1865794.14|1000000035|ABCDE1035F|Beneficiary 35|Singapore|P0807|IRM88035
ORM99036|22/11/2025|HDFC6878862|3615776|22/11/2025|27884.34|USD|142478.29|1000000036|ABCDE1036F|Beneficiary 36|USA|S0001|IRM88036
ORM99037|24/02/2026|HDFC3336239|8278114|24/02/2026|49340.92|USD|2492373.34|1000000037|ABCDE1037F|Beneficiary 37|UK|P0104|IRM88037
ORM99038|02/10/2024|HDFC4569852|5915164|02/10/2024|25556.93|EUR|1031888.78|1000000038|ABCDE1038F|Beneficiary 38|Singapore|P0807|IRM88038
ORM99039|22/05/2026|HDFC3199051|2021808|22/05/2026|45590.84|GBP|2701295.68|1000000039|ABCDE1039F|Beneficiary 39|Singapore|S0001|IRM88039
ORM99040|24/03/2025|HDFC9416272|3193843|24/03/2025|27059.42|EUR|1570797.28|1000000040|ABCDE1040F|Beneficiary 40|UAE|P0104|IRM88040
ORM99041|03/10/2025|HDFC1065976|3513268|03/10/2025|9444.99|GBP|1887775.62|1000000041|ABCDE1041F|Beneficiary 41|USA|S0001|IRM88041
ORM99042|22/03/2024|HDFC6469072|9696448|22/03/2024|27005.59|GBP|2370075.63|1000000042|ABCDE1042F|Beneficiary 42|USA|S0001|IRM88042
ORM99043|17/03/2024|HDFC5169042|4209584|17/03/2024|14568.94|USD|1562524.86|1000000043|ABCDE1043F|Beneficiary 43|Singapore|P0104|IRM88043
ORM99044|07/03/2026|HDFC2063152|8436474|07/03/2026|16955.07|EUR|1849922.03|1000000044|ABCDE1044F|Beneficiary 44|UK|S0001|IRM88044
ORM99045|28/10/2024|HDFC8589103|9525445|28/10/2024|27130.99|GBP|1562635.43|1000000045|ABCDE1045F|Beneficiary 45|UK|S0001|IRM88045
ORM99046|07/07/2025|HDFC5355235|4398871|07/07/2025|42159.99|USD|1296580.20|1000000046|ABCDE1046F|Beneficiary 46|UAE|P0807|IRM88046
ORM99047|07/12/2024|HDFC2217121|5037248|07/12/2024|21988.60|USD|2034858.66|1000000047|ABCDE1047F|Beneficiary 47|USA|P0104|IRM88047
ORM99048|21/01/2026|HDFC7143536|3398789|21/01/2026|13402.28|USD|2905230.77|1000000048|ABCDE1048F|Beneficiary 48|UK|S0001|IRM88048
ORM99049|24/04/2024|HDFC7681641|9174879|24/04/2024|8976.96|EUR|2510738.43|1000000049|ABCDE1049F|Beneficiary 49|UK|S0001|IRM88049
ORM99050|04/04/2025|HDFC9650417|7774803|04/04/2025|17616.69|USD|1121315.20|1000000050|ABCDE1050F|Beneficiary 50|USA|S0001|IRM88050
